prompt_id,context_bucket,trial_index,spec_k,acceptance_rate,tokens_per_sec,tokens_per_sec_ar,actual_speedup_tps_ratio,theoretical_speedup_factor,system_overhead_ratio
mt-011,short,2,3,1.0,112.84976590320636,170.42479797551744,0.6621675204767907,1.0,0.6621675204767907
mt-012,short,0,3,1.0,113.4392637213241,170.94481439306915,0.6636016665617172,1.0,0.6636016665617172
mt-012,short,1,3,1.0,116.42730982432278,170.66370758551997,0.6822030967889338,1.0,0.6822030967889338
mt-012,short,2,3,1.0,113.63475878750252,175.26149590261744,0.6483726399930005,1.0,0.6483726399930005
mt-013,short,0,3,1.0,112.7845833033143,170.01255447084375,0.6633897340955268,1.0,0.6633897340955268
mt-013,short,1,3,1.0,113.58804394399095,174.41316279577586,0.6512584378565146,1.0,0.6512584378565146
mt-013,short,2,3,1.0,116.3936151263948,168.75944284888357,0.6897013474417548,1.0,0.6897013474417548
mt-014,short,0,3,1.0,113.0355859196768,170.44614299232168,0.6631747948955868,1.0,0.6631747948955868
mt-014,short,1,3,1.0,115.89910432446082,173.4779146702618,0.6680914083199355,1.0,0.6680914083199355
mt-014,short,2,3,1.0,113.0905011683272,174.0363643217697,0.6498096050733291,1.0,0.6498096050733291
mt-015,short,0,3,1.0,112.68297285064382,174.39000583078135,0.6461549921615651,1.0,0.6461549921615651
mt-015,short,1,3,1.0,113.20318657773906,171.58016679547458,0.6597684842717194,1.0,0.6597684842717194
mt-015,short,2,3,1.0,116.3040244187694,170.32981425012,0.6828165986724045,1.0,0.6828165986724045
mt-001,short,0,7,0.9393939393939394,130.96666206784553,170.4168691653997,0.7685076172871983,0.8117342254542216,0.9467478309876179
mt-001,short,1,7,0.9393939393939394,129.84881179390285,170.21125306912964,0.7628685498318142,0.8117342254542216,0.9398008928414178
mt-001,short,2,7,0.9393939393939394,129.8793178831112,175.9075173264046,0.7383386444032071,0.8117342254542216,0.9095817587216498
mt-002,short,0,7,1.0,136.41860201499708,171.4426554427321,0.7957098054898345,1.0,0.7957098054898345
mt-002,short,1,7,1.0,139.37905125625574,176.70795541920253,0.7887536864178423,1.0,0.7887536864178423
mt-002,short,2,7,1.0,140.3374349594601,176.4497687843735,0.7953392964258079,1.0,0.7953392964258079
mt-003,short,0,7,0.9117647058823528,126.74454559201229,170.90527412820975,0.7416069880730014,0.740069944206813,1.002076889999682
mt-003,short,1,7,0.9117647058823528,130.79520977913853,174.76136458545272,0.7484217698196323,0.740069944206813,1.0112851841615733
mt-003,short,2,7,0.9117647058823528,126.33153985841506,168.89758293888772,0.7479771922143235,0.740069944206813,1.0106844603937877
mt-004,short,0,7,1.0,137.61799388298687,171.74210657848658,0.8013060781928577,1.0,0.8013060781928577
mt-004,short,1,7,1.0,136.97049523273142,171.54602531612016,0.7984475010734062,1.0,0.7984475010734062
mt-004,short,2,7,1.0,137.02772762065865,171.80746272131395,0.797565632192177,1.0,0.797565632192177
mt-005,short,0,7,1.0,136.10677658289734,168.06562302922217,0.8098430489811231,1.0,0.8098430489811231
mt-005,short,1,7,1.0,136.53868186298715,170.4493959579965,0.8010511336551412,1.0,0.8010511336551412
mt-005,short,2,7,1.0,139.87508045063018,165.69503872652305,0.8441718081945212,1.0,0.8441718081945212
mt-006,short,0,7,1.0,136.31827645715498,172.74322075437752,0.7891382125552995,1.0,0.7891382125552995
mt-006,short,1,7,1.0,139.2222821434037,176.00664152263036,0.7910058446601457,1.0,0.7910058446601457
mt-006,short,2,7,1.0,139.4624129293964,169.98744037174387,0.8204277482172061,1.0,0.8204277482172061
mt-007,short,0,7,1.0,136.43552703357153,175.5824113853335,0.7770455249879776,1.0,0.7770455249879776
mt-007,short,1,7,1.0,136.3750678487052,170.67046328805193,0.7990548875380733,1.0,0.7990548875380733
mt-007,short,2,7,1.0,136.79470796674133,170.4667169355548,0.8024716520965014,1.0,0.8024716520965014
mt-008,short,0,7,1.0,140.4340874695443,171.4817417924047,0.818944839267806,1.0,0.818944839267806
mt-008,short,1,7,1.0,135.4686030006799,170.87525386120677,0.7927924022908204,1.0,0.7927924022908204
mt-008,short,2,7,1.0,136.53693295663825,171.71139542822365,0.7951535925506555,1.0,0.7951535925506555
mt-009,short,0,7,0.75,106.26080564469623,167.61605623111154,0.6339536201602443,0.44994354248046875,1.4089625926518616
mt-009,short,1,7,0.75,107.36209209258848,171.08935866747717,0.6275205712896113,0.44994354248046875,1.3946651347193204
mt-009,short,2,7,0.75,109.59321464572248,169.0936573624294,0.6481213805129558,0.44994354248046875,1.4404504550503456
mt-010,short,0,7,1.0,135.9443854237802,170.2735400256039,0.7983882017331545,1.0,0.7983882017331545
mt-010,short,1,7,1.0,141.55801315012977,171.66667678782704,0.8246097367230429,1.0,0.8246097367230429
mt-010,short,2,7,1.0,136.67016152198826,170.01797238733505,0.8038571428826725,1.0,0.8038571428826725
mt-011,short,0,7,1.0,137.2676012325356,171.42269469126552,0.8007551245169511,1.0,0.8007551245169511
mt-011,short,1,7,1.0,136.4499857522325,169.3297401844642,0.8058241015641244,1.0,0.8058241015641244
mt-011,short,2,7,1.0,136.4704582270952,170.42479797551744,0.8007664368579743,1.0,0.8007664368579743
mt-012,short,0,7,1.0,141.4005811519293,170.94481439306915,0.8271709303026527,1.0,0.8271709303026527
mt-012,short,1,7,1.0,140.64868288947054,170.66370758551997,0.8241276653326611,1.0,0.8241276653326611
mt-012,short,2,7,1.0,137.21537468434357,175.26149590261744,0.7829179705312234,1.0,0.7829179705312234
mt-013,short,0,7,1.0,137.6186875168173,170.01255447084375,0.8094619126519751,1.0,0.8094619126519751
mt-013,short,1,7,1.0,137.1175544487827,174.41316279577586,0.7861651738368887,1.0,0.7861651738368887
mt-013,short,2,7,1.0,136.30953503176693,168.75944284888357,0.8077150097836359,1.0,0.8077150097836359
mt-014,short,0,7,1.0,136.5193636526966,170.44614299232168,0.8009530826335365,1.0,0.8009530826335365
mt-014,short,1,7,1.0,137.0547413212332,173.4779146702618,0.7900414388871346,1.0,0.7900414388871346
mt-014,short,2,7,1.0,137.19553983811016,174.0363643217697,0.7883153637044162,1.0,0.7883153637044162
mt-015,short,0,7,1.0,139.86695042697554,174.39000583078135,0.8020353561011683,1.0,0.8020353561011683
mt-015,short,1,7,1.0,136.35421726999783,171.58016679547458,0.7946968453092457,1.0,0.7946968453092457
mt-015,short,2,7,1.0,136.9067571373989,170.32981425012,0.8037744756555586,1.0,0.8037744756555586
